EndTime,country_code,quantity_sum,Load,surplus,CountryLabel,surplus_diff,detrended,seasonally_adjusted
2022-01-27 00:00:00+00:00,UK,905.0,1518,2172.0,1,2172.0,,2003.4943322699694
2022-01-27 01:00:00+00:00,UK,1069.0,1357,2497.0,1,2497.0,,2350.059629073622
2022-01-27 02:00:00+00:00,UK,819.0,1295,2309.0,1,2309.0,,2052.9792637768187
2022-01-27 03:00:00+00:00,UK,426.0,1298,1913.0,1,1913.0,,1628.981090260837
2022-01-27 04:00:00+00:00,UK,534.0,1254,2065.0,1,2065.0,,1648.6952455119786
2022-01-27 05:00:00+00:00,UK,417.0,1238,1964.0,1,1964.0,,1382.218533183211
2022-01-27 06:00:00+00:00,UK,889.0,1273,2401.0,1,2401.0,,1848.4212729092387
2022-01-27 07:00:00+00:00,UK,841.0,1503,2123.0,1,2123.0,,1584.8815468818414
2022-01-27 08:00:00+00:00,UK,712.0,1915,1582.0,1,1582.0,,1001.6413642334396
2022-01-27 09:00:00+00:00,UK,648.0,2255,1178.0,1,1178.0,,649.4696747357227
2022-01-27 10:00:00+00:00,UK,787.0,2331,1241.0,1,1241.0,,837.5034646900608
2022-01-27 11:00:00+00:00,UK,826.0,2328,1283.0,1,1283.0,,802.9664783886908
2022-01-27 12:00:00+00:00,UK,852.0,2329,1308.0,1,1308.0,,1054.8623687996499
2022-01-27 13:00:00+00:00,UK,831.0,2358,1258.0,1,1258.0,,1093.5911359229376
2022-01-27 14:00:00+00:00,UK,676.0,2308,1153.0,1,1153.0,,1271.4550628635768
2022-01-27 15:00:00+00:00,UK,421.0,2236,970.0,1,970.0,,1061.4696747357227
2022-01-27 16:00:00+00:00,UK,352.0,2245,892.0,1,892.0,,832.0979852380059
2022-01-27 17:00:00+00:00,UK,231.0,2386,630.0,1,630.0,,491.4267523612935
2022-01-27 18:00:00+00:00,UK,211.0,2722,274.0,1,274.0,,284.8888528179145
2022-01-27 19:00:00+00:00,UK,225.0,2737,273.0,1,273.0,,512.4842866078689
2022-01-27 20:00:00+00:00,UK,142.0,2546,381.0,1,381.0,,866.4842866078689
2022-01-27 21:00:00+00:00,UK,90.0,2376,499.0,1,499.0,,1112.7372546443985
2022-01-27 22:00:00+00:00,UK,61.0,2181,665.0,1,665.0,,1368.6048345530744
2022-01-27 23:00:00+00:00,UK,68.0,1930,923.0,1,923.0,,1642.7089441421158
2022-01-29 00:00:00+00:00,UK,1443.0,1471,2757.0,1,2757.0,,3672.5500400325263
2022-01-29 02:00:00+00:00,UK,1254.0,1180,2859.0,1,2859.0,,3813.554606242572
2022-01-29 03:00:00+00:00,UK,1217.0,1119,2883.0,1,2883.0,,3843.9409076124352
2022-01-29 04:00:00+00:00,UK,1009.0,1057,2737.0,1,2737.0,,3679.044103959467
2022-01-29 05:00:00+00:00,UK,1040.0,1032,2793.0,1,2793.0,,3724.9153368361794
2022-01-29 06:00:00+00:00,UK,1533.0,1013,3305.0,1,3305.0,,4239.171957840746
2022-01-29 07:00:00+00:00,UK,1678.0,1175,3288.0,1,3288.0,,4215.817619941202
2022-01-29 08:00:00+00:00,UK,1707.0,1411,3081.0,1,3081.0,,3953.174697566773
2022-01-29 09:00:00+00:00,UK,1818.0,1623,2980.0,1,2980.0,,3734.423099393257
2022-01-29 10:00:00+00:00,UK,1855.0,1853,2787.0,1,2787.0,,3465.617619941202
2022-01-29 11:00:00+00:00,UK,1799.0,1947,2637.0,1,2637.0,,3315.7856564708827
2022-01-29 12:00:00+00:00,UK,1731.0,1974,2542.0,1,2542.0,,3219.0815468818414
2022-01-29 13:00:00+00:00,UK,1731.0,1977,2539.0,1,2539.0,,3306.201181585038
2022-01-29 14:00:00+00:00,UK,1162.0,1908,2039.0,1,2039.0,,2883.5591724526175
2022-01-29 15:00:00+00:00,UK,1012.0,1853,1944.0,1,1944.0,,2752.323556014261
2022-01-29 16:00:00+00:00,UK,941.0,1830,1896.0,1,1896.0,,2605.1518665165445
2022-01-29 17:00:00+00:00,UK,775.0,1960,1600.0,1,1600.0,,2206.2121404891473
2022-01-29 18:00:00+00:00,UK,652.0,2269,1168.0,1,1168.0,,1684.5299487083253
2022-01-29 19:00:00+00:00,UK,568.0,2353,1000.0,1,1000.0,,1517.3847432288733
2022-01-29 20:00:00+00:00,UK,371.0,2169,987.0,1,987.0,,1530.3235560142616
2022-01-29 21:00:00+00:00,UK,318.0,2010,1093.0,1,1093.0,,1698.8888528179145
2022-01-29 22:00:00+00:00,UK,219.0,1862,1142.0,1,1142.0,,1768.7482135485081
2022-01-29 23:00:00+00:00,UK,119.0,0,2904.0,1,2904.0,,3555.718076562207
2022-01-30 00:00:00+00:00,UK,29.0,1566,1248.0,1,1248.0,,1869.9454738224808
2022-01-30 01:00:00+00:00,UK,26.0,1421,1390.0,1,1390.0,,2130.0842866078688
2022-01-30 02:00:00+00:00,UK,33.0,1376,1442.0,1,1442.0,,2127.309857384125
2022-01-30 03:00:00+00:00,UK,58.0,0,2843.0,1,2843.0,,3524.918076562207
2022-01-30 04:00:00+00:00,UK,67.0,0,2852.0,1,2852.0,,3433.603008069056
2022-01-30 05:00:00+00:00,UK,111.0,1245,1651.0,1,1651.0,,2131.4559761055857
2022-01-30 06:00:00+00:00,UK,181.0,0,2966.0,1,2966.0,,3261.739994370426
2022-01-30 07:00:00+00:00,UK,342.0,1302,1825.0,1,1825.0,,2127.213053731157
2022-01-30 08:00:00+00:00,UK,578.0,1415,1948.0,1,1948.0,,2174.0313185713394
2022-01-30 09:00:00+00:00,UK,977.0,1527,2235.0,1,2235.0,,2352.9957021329833
2022-01-30 10:00:00+00:00,UK,1172.0,1707,2250.0,1,2250.0,,2318.0815468818414
2022-01-30 11:00:00+00:00,UK,1507.0,1884,2408.0,1,2408.0,,2379.975610808782
2022-01-30 12:00:00+00:00,UK,1711.0,1937,2559.0,1,2559.0,,2522.499811722024
2022-01-30 13:00:00+00:00,UK,1735.0,2056,2464.0,1,2464.0,,2325.98839619691
2022-01-30 14:00:00+00:00,UK,1798.0,2089,2494.0,1,2494.0,,2252.3929624069556
2022-01-30 15:00:00+00:00,UK,1892.0,2041,2636.0,1,2636.0,,2316.492505785951
2022-01-30 16:00:00+00:00,UK,1933.0,2043,2675.0,1,2675.0,,2237.4934190279605
2022-01-30 17:00:00+00:00,UK,1881.0,2106,2560.0,1,2560.0,,1984.0057477950836
2022-01-30 18:00:00+00:00,UK,1840.0,2302,2323.0,1,2323.0,,1623.4988984800152
2022-01-30 19:00:00+00:00,UK,1814.0,2315,2284.0,1,2284.0,,1675.5938756489647
2022-01-30 20:00:00+00:00,UK,1848.0,2142,2491.0,1,2491.0,,2022.5381678864078
2022-01-30 21:00:00+00:00,UK,1712.0,1995,2502.0,1,2502.0,,2148.256889347595
2022-01-30 22:00:00+00:00,UK,1516.0,1827,2474.0,1,2474.0,,2213.8532363795584
2022-01-30 23:00:00+00:00,UK,1514.0,1583,2716.0,1,2716.0,,2694.884286607869
2022-01-31 00:00:00+00:00,UK,1343.0,1365,2763.0,1,2763.0,,2885.0048345530745
2022-01-31 01:00:00+00:00,UK,1448.0,1209,3024.0,1,3024.0,,3434.381090260837
2022-01-31 02:00:00+00:00,UK,1327.0,1162,2950.0,1,2950.0,,3566.4660217676865
2022-01-31 03:00:00+00:00,UK,1331.0,1144,2972.0,1,2972.0,,2837.7911359229374
2022-01-31 04:00:00+00:00,UK,1323.0,0,4108.0,1,4108.0,,3856.4441039594667
2022-01-31 05:00:00+00:00,UK,1353.0,1118,3020.0,1,3020.0,,2703.2970719959967
2022-01-31 06:00:00+00:00,UK,1390.0,1190,2985.0,1,2985.0,,2709.7226427722526
2022-01-31 07:00:00+00:00,UK,1401.0,1433,2753.0,1,2753.0,,2466.8441039594672
2022-01-31 08:00:00+00:00,UK,1107.0,1887,2005.0,1,2005.0,,1653.105291174079
2022-01-31 09:00:00+00:00,UK,1156.0,2224,1717.0,1,1717.0,,1285.645017201476
2022-01-31 10:00:00+00:00,UK,1243.0,2370,1658.0,1,1658.0,,1011.0121404891473
2022-01-31 11:00:00+00:00,UK,1079.0,2410,1454.0,1,1454.0,,1497.7208162882341
2022-01-31 12:00:00+00:00,UK,929.0,2430,1284.0,1,1284.0,,1232.2148802151748
2022-01-31 13:00:00+00:00,UK,876.0,2449,1212.0,1,1212.0,,1040.6240126352661
2022-01-31 14:00:00+00:00,UK,639.0,2425,999.0,1,999.0,,694.9975286170013
2022-01-31 15:00:00+00:00,UK,671.0,2394,1062.0,1,1062.0,,876.7436473384624
2022-01-31 16:00:00+00:00,UK,740.0,2443,1082.0,1,1082.0,,804.9966153749924
2022-01-31 17:00:00+00:00,UK,919.0,2554,1150.0,1,1150.0,,618.0367980233941
2022-01-31 18:00:00+00:00,UK,1365.0,2836,1314.0,1,1314.0,,650.6806336398323
2022-01-31 19:00:00+00:00,UK,1666.0,2691,1760.0,1,1760.0,,1241.5874829549007
2022-01-31 20:00:00+00:00,UK,1641.0,2460,1966.0,1,1966.0,,1657.960998936636
2022-01-31 21:00:00+00:00,UK,1679.0,2234,2230.0,1,2230.0,,2050.595702132983
2022-01-31 22:00:00+00:00,UK,1694.0,2006,2473.0,1,2473.0,,2429.9098573841247
2022-01-31 23:00:00+00:00,UK,1599.0,1743,2641.0,1,2641.0,,2662.1016382060425
2022-02-01 00:00:00+00:00,UK,1420.0,1483,2722.0,1,2722.0,,2789.0632820416586
2022-02-01 01:00:00+00:00,UK,1368.0,1277,2876.0,1,2876.0,,3150.2276656033027
2022-02-01 02:00:00+00:00,UK,1274.0,1207,2852.0,1,2852.0,,3224.3938756489647
2022-02-01 03:00:00+00:00,UK,1256.0,1164,2877.0,1,2877.0,,3094.2495834115216
2022-02-01 04:00:00+00:00,UK,1251.0,1140,2896.0,1,2896.0,,3039.8541496215676
2022-02-01 05:00:00+00:00,UK,1223.0,1129,2879.0,1,2879.0,,3038.229492087321
2022-02-01 06:00:00+00:00,UK,1339.0,1183,2941.0,1,2941.0,,3136.3746975667727
2022-02-01 07:00:00+00:00,UK,1661.0,1388,3058.0,1,3058.0,,3315.512597110152
2022-02-01 08:00:00+00:00,UK,1634.0,1827,2592.0,1,2592.0,,2781.0888528179144
2022-02-01 09:00:00+00:00,UK,1626.0,2139,2272.0,1,2272.0,,2358.34638706449
2022-02-01 10:00:00+00:00,UK,1629.0,2223,2191.0,1,2191.0,,2139.9062044160883
2022-02-01 11:00:00+00:00,UK,1688.0,2219,2254.0,1,2254.0,,2197.0203596672295
2022-02-01 12:00:00+00:00,UK,1561.0,2185,2161.0,1,2161.0,,1862.9235560142615
2022-02-01 13:00:00+00:00,UK,1775.0,2209,2351.0,1,2351.0,,1968.4806336398324
2022-02-01 14:00:00+00:00,UK,1538.0,2187,2136.0,1,2136.0,,1794.6925057859512
2022-02-01 15:00:00+00:00,UK,1376.0,2374,1787.0,1,1787.0,,1505.9719578407457
2022-02-01 16:00:00+00:00,UK,1208.0,2190,1803.0,1,1803.0,,1444.8084875211111
2022-02-01 17:00:00+00:00,UK,1009.0,2311,1483.0,1,1483.0,,1005.2240126352663
2022-02-01 18:00:00+00:00,UK,921.0,2620,1086.0,1,1086.0,,479.6532363795585
2022-02-01 19:00:00+00:00,UK,862.0,2633,1014.0,1,1014.0,,555.5947888909739
2022-02-01 20:00:00+00:00,UK,1084.0,2430,1439.0,1,1439.0,,1080.1390811284168
2022-02-01 21:00:00+00:00,UK,1260.0,2248,1797.0,1,1797.0,,1494.0048345530745
2022-02-01 22:00:00+00:00,UK,1431.0,2056,2160.0,1,2160.0,,1952.4915925439418
2022-02-01 23:00:00+00:00,UK,1443.0,1770,2458.0,1,2458.0,,2319.9098573841247
2022-02-02 00:00:00+00:00,UK,1453.0,1482,2756.0,1,2756.0,,2548.1628254206544
2022-02-02 01:00:00+00:00,UK,1573.0,1303,3055.0,1,3055.0,,3203.837711265403
2022-02-02 02:00:00+00:00,UK,1363.0,1248,2900.0,1,2900.0,,3192.3655651466815
